TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612740,New Orleans Pelicans,16,4,12,0.25,21.8,19.8,40.4,0.491,6.3,16.6,0.381,6.5,8.2,0.789,5.3,14.4,19.8,12.3,6.5,3.8,2.9,2.3,8.1,7.7,52.4,5.3,2,26,28,26,24,13,7,30,10,8,28,3,2,19,13,6,8,11,21,10,21,21,5,27,8,29
1610612752,New York Knicks,14,8,6,0.571,36.7,31.0,65.5,0.473,11.0,29.7,0.37,12.4,16.0,0.775,7.0,23.3,30.3,19.9,9.3,5.0,3.5,2.8,14.1,13.3,85.3,-4.8,21,10,8,10,2,30,29,21,30,29,20,28,28,15,26,28,28,29,4,26,25,10,28,4,29,6
1610612760,Oklahoma City Thunder,16,12,4,0.75,40.2,30.2,71.4,0.423,10.9,31.0,0.351,16.0,21.8,0.737,11.3,30.4,41.7,20.7,16.7,5.7,3.9,5.9,15.1,18.0,87.3,-9.3,2,2,4,4,1,29,30,1,29,30,13,30,30,1,30,30,30,30,1,28,29,1,30,1,30,1
1610612753,Orlando Magic,15,9,6,0.6,24.4,18.4,41.9,0.44,5.9,16.8,0.351,9.0,12.0,0.748,4.4,17.3,21.7,11.9,8.1,3.8,2.1,3.3,11.3,10.5,51.7,-2.0,8,7,8,8,17,6,10,4,8,9,12,14,19,4,4,16,12,6,13,11,7,4,23,14,7,8
1610612755,Philadelphia 76ers,14,2,12,0.143,25.8,21.2,43.8,0.484,6.8,18.6,0.367,11.0,13.3,0.83,5.2,18.7,23.9,13.8,9.2,4.0,3.0,1.9,11.0,11.8,60.2,4.2,21,29,28,30,14,16,14,24,15,14,17,25,23,30,11,22,20,20,5,16,23,26,22,7,18,27
1610612756,Phoenix Suns,15,9,6,0.6,25.5,21.9,46.2,0.473,6.9,18.5,0.373,8.9,11.1,0.8,5.4,17.9,23.3,13.7,6.8,3.9,2.5,2.6,10.5,9.7,59.5,1.3,8,7,8,8,15,19,17,20,16,13,25,13,11,24,14,19,17,19,19,13,14,17,17,18,17,19
1610612757,Portland Trail Blazers,15,6,9,0.4,14.5,12.5,26.1,0.48,4.4,11.8,0.371,5.2,6.4,0.81,3.4,10.3,13.7,8.3,5.4,3.0,1.9,1.7,6.2,5.7,34.6,2.9,8,19,19,20,30,1,1,23,1,1,21,1,1,26,1,1,1,1,29,1,3,30,1,30,1,23
1610612758,Sacramento Kings,15,8,7,0.533,27.6,22.9,50.1,0.458,8.5,22.5,0.377,9.8,12.4,0.789,5.8,17.7,23.6,14.6,8.6,4.5,2.0,2.6,10.7,11.5,64.1,-1.7,8,10,12,13,9,20,20,10,27,25,27,20,20,20,18,17,18,21,9,20,4,20,20,10,21,10
1610612759,San Antonio Spurs,15,7,8,0.467,20.4,17.5,38.0,0.461,5.4,15.6,0.348,6.4,8.3,0.767,4.8,13.4,18.2,10.0,6.1,3.9,2.0,2.6,7.8,7.1,46.8,0.6,8,16,17,16,27,4,5,12,4,5,9,2,3,10,6,4,4,3,27,12,6,17,2,29,4,18
1610612761,Toronto Raptors,15,3,12,0.2,31.6,27.2,58.4,0.466,8.3,24.4,0.34,14.7,18.7,0.786,7.7,19.9,27.6,17.1,8.6,6.1,4.3,3.4,12.8,15.2,77.3,3.8,8,27,28,28,5,26,26,15,26,27,4,29,29,17,29,26,26,27,8,29,30,3,26,2,28,26
1610612762,Utah Jazz,14,3,11,0.214,21.8,19.8,40.6,0.488,6.7,17.8,0.376,7.8,10.3,0.755,5.0,13.9,18.9,12.5,6.1,4.5,3.0,1.8,9.8,8.5,54.0,4.7,21,27,26,27,22,12,8,27,14,12,26,8,10,5,8,5,5,14,26,22,24,27,14,24,11,28
1610612764,Washington Wizards,13,2,11,0.154,21.7,20.1,42.1,0.478,6.5,17.5,0.373,9.4,11.9,0.793,5.9,16.8,22.6,12.2,6.4,3.7,2.8,2.8,8.5,10.0,56.2,7.2,27,29,26,29,25,15,11,22,12,10,24,19,18,21,19,12,14,9,23,9,19,14,7,16,15,30
