SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN_player,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS_player,VIDEO_AVAILABLE,Home,Opponent,opponent_id,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN_team,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS_team,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
22024,201939,0022400284,"NOV 25, 2024",GSW vs. BKN,L,29,8,17,0.471,8,16,0.5,4,4,1.0,0,4,4,7,1,0,3,0,28,-4,1,1,BKN,1610612751,1610612751,Brooklyn Nets,19,9,10,0.474,21.8,18.7,38.1,0.493,5.9,15.7,0.377,8.9,11.5,0.779,4.3,15.0,19.2,12.2,6.4,3.5,2.6,1.7,8.6,10.1,52.3,1.9,6,15,17,17,24,7,4,30,8,4,24,14,15,18,3,7,6,10,24,7,14,30,7,15,7,21
22024,201939,0022400269,"NOV 23, 2024",GSW @ SAS,L,32,5,16,0.313,3,10,0.3,1,1,1.0,2,5,7,5,0,0,3,1,14,4,1,0,SAS,1610612759,1610612759,San Antonio Spurs,19,10,9,0.526,20.9,18.1,39.0,0.463,5.6,16.2,0.346,6.5,8.3,0.779,5.0,14.0,19.0,10.6,6.3,3.6,2.0,2.7,8.3,7.3,48.2,0.5,6,11,15,14,27,4,5,15,5,5,9,3,2,17,8,5,4,4,25,9,4,17,4,28,4,17
22024,201939,0022400032,"NOV 22, 2024",GSW @ NOP,W,33,6,13,0.462,4,7,0.571,3,3,1.0,0,7,7,7,1,1,4,3,19,4,1,0,NOP,1610612740,1610612740,New Orleans Pelicans,19,4,15,0.211,22.6,20.6,42.1,0.49,6.8,18.1,0.379,6.4,8.5,0.757,5.4,15.6,21.0,13.3,6.9,4.0,2.7,2.3,8.3,8.2,54.5,5.9,6,27,29,28,21,14,12,28,14,11,26,2,4,6,12,9,10,15,19,11,19,22,5,25,11,29
22024,201939,0022400258,"NOV 20, 2024",GSW vs. ATL,W,30,7,10,0.7,4,6,0.667,5,5,1.0,0,4,4,8,2,1,5,0,23,27,1,1,ATL,1610612737,1610612737,Atlanta Hawks,19,8,11,0.421,23.6,21.1,44.8,0.472,8.3,20.8,0.398,9.0,11.5,0.784,5.5,17.0,22.4,13.5,8.3,4.5,3.1,2.8,10.0,9.3,59.6,2.3,6,19,21,21,19,15,13,18,24,21,30,15,16,20,15,13,13,17,11,20,22,14,16,21,15,22
22024,201939,0022400251,"NOV 18, 2024",GSW @ LAC,L,32,10,21,0.476,6,15,0.4,0,0,0.0,1,6,7,6,0,1,3,1,26,-5,1,0,LAC,1610612746,1610612746,LA Clippers,20,12,8,0.6,34.2,27.4,60.8,0.45,9.1,27.1,0.334,11.8,15.6,0.761,6.7,22.8,29.5,16.9,10.5,7.0,4.0,3.1,13.4,13.8,75.6,-1.8,1,6,10,9,3,27,27,7,28,28,3,27,27,8,24,27,27,28,2,30,29,6,27,3,27,9
22024,201939,0022400019,"NOV 15, 2024",GSW vs. MEM,W,26,4,9,0.444,3,7,0.429,2,2,1.0,1,7,8,5,4,0,3,2,13,9,1,1,MEM,1610612763,1610612763,Memphis Grizzlies,19,12,7,0.632,18.0,15.3,34.8,0.438,5.3,15.3,0.348,7.1,9.5,0.744,4.7,11.9,16.6,9.4,5.9,3.5,1.9,2.9,8.2,8.2,42.9,-2.6,6,6,6,7,29,2,3,4,2,3,11,5,6,3,5,2,2,2,27,5,3,11,3,25,2,8
22024,201939,0022400007,"NOV 12, 2024",GSW vs. DAL,W,35,14,27,0.519,5,12,0.417,4,5,0.8,0,6,6,9,1,2,4,2,37,24,1,1,DAL,1610612742,1610612742,Dallas Mavericks,19,11,8,0.579,27.3,22.6,50.4,0.449,6.9,20.3,0.339,10.6,14.3,0.74,6.8,18.3,25.1,14.8,7.8,4.2,2.5,3.0,10.5,12.0,62.7,-3.8,6,9,10,11,10,20,21,6,16,20,5,25,26,2,25,21,22,22,14,16,12,8,18,5,20,6
22024,201939,0022400207,"NOV 10, 2024",GSW @ OKC,W,37,13,23,0.565,7,13,0.538,3,4,0.75,1,4,5,7,1,1,3,2,36,21,1,0,OKC,1610612760,1610612760,Oklahoma City Thunder,18,14,4,0.778,40.1,30.4,72.0,0.423,10.8,31.3,0.344,15.7,21.4,0.736,11.3,29.8,41.1,20.6,16.2,5.9,4.0,5.8,15.4,17.8,87.3,-9.3,17,3,3,3,1,29,30,1,29,30,8,30,30,1,30,30,30,30,1,28,28,1,30,1,29,1
22024,201939,0022400188,"NOV 08, 2024",GSW @ CLE,L,24,5,10,0.5,1,4,0.25,1,1,1.0,0,1,1,2,2,0,6,0,12,-25,1,0,CLE,1610612739,1610612739,Cleveland Cavaliers,19,17,2,0.895,28.1,23.8,52.0,0.458,8.4,21.8,0.387,9.7,12.2,0.794,6.4,18.4,24.8,15.2,9.2,4.2,2.7,2.9,10.7,10.6,65.8,-6.7,6,1,1,1,7,23,23,11,27,24,29,21,18,24,21,22,21,23,7,18,16,9,20,14,23,3
22024,201939,0022400172,"NOV 06, 2024",GSW @ BOS,W,34,8,17,0.471,4,9,0.444,7,7,1.0,0,7,7,9,4,1,3,2,27,7,1,0,BOS,1610612738,1610612738,Boston Celtics,18,15,3,0.833,33.2,28.5,61.6,0.463,7.9,23.5,0.336,9.6,12.6,0.758,7.0,22.8,29.8,16.7,9.5,4.7,2.7,3.7,13.6,11.5,74.5,-7.3,17,2,2,2,4,28,28,14,23,26,4,20,22,7,27,28,28,24,5,23,17,2,28,8,26,2
22024,201939,0022400155,"NOV 04, 2024",GSW @ WAS,W,24,7,15,0.467,4,9,0.444,6,6,1.0,1,2,3,6,0,0,2,1,24,9,1,0,WAS,1610612764,1610612764,Washington Wizards,17,2,15,0.118,21.5,19.8,41.2,0.48,6.2,17.0,0.364,9.4,11.9,0.792,5.6,16.6,22.2,12.2,6.2,4.0,2.6,2.5,8.5,9.9,55.2,7.7,27,30,29,30,26,11,10,24,10,9,18,17,17,21,17,12,12,9,26,12,15,21,6,17,13,30
22024,201939,0022400101,"OCT 27, 2024",GSW vs. LAC,L,27,6,11,0.545,4,7,0.571,2,2,1.0,0,4,4,6,2,1,6,1,18,2,1,1,LAC,1610612746,1610612746,LA Clippers,20,12,8,0.6,34.2,27.4,60.8,0.45,9.1,27.1,0.334,11.8,15.6,0.761,6.7,22.8,29.5,16.9,10.5,7.0,4.0,3.1,13.4,13.8,75.6,-1.8,1,6,10,9,3,27,27,7,28,28,3,27,27,8,24,27,27,28,2,30,29,6,27,3,27,9
